[00:00:00.42 - 00:00:01.08] 这次
[00:00:01.08 - 00:00:03.38] 警视总监很感谢
[00:00:03.38 - 00:00:05.38] 有消息了
[00:00:06.62 - 00:00:08.06] 警视总监
[00:00:10.08 - 00:00:15.60] 大家辛苦了
[00:00:15.60 - 00:00:17.10] 魅力果然还是建筑
[00:00:17.10 - 00:00:19.50] 实际上非常好
[00:00:19.50 - 00:00:22.14] 在我心中柯南界里
[00:00:22.14 - 00:00:24.82] 最棒的笑
[00:00:24.82 - 00:00:28.70] 心虽好但更好
[00:00:28.70 - 00:00:29.46] 不太
[00:00:29.46 - 00:00:32.29] 不突出是好的
[00:00:32.29 - 00:00:35.77] 确实三个人都很优秀
[00:00:35.77 - 00:00:39.79] 勘助和伊织的爱米
[00:00:39.79 - 00:00:40.83] 爱米
[00:00:40.83 - 00:00:43.48] 孔明的
[00:00:43.48 - 00:00:47.84] 好像要说的话
[00:00:47.84 - 00:00:49.20] 动画中熟悉的
[00:00:49.20 - 00:00:50.73] Next Clue提示
[00:00:50.73 - 00:00:52.65] 红眼Flashback版本
[00:00:52.65 - 00:00:56.01] 青山先生想的奢侈
[00:00:57.49 - 00:00:58.68] 奢侈啊
[00:00:58.68 - 00:01:02.88] 接近电影内容的提示
[00:01:03.88 - 00:01:08.24] 这次的Next Hint是
[00:01:08.24 - 00:01:12.28] 纯粹的真实只有一个
